division,team,group,team_points,strength,p_1st_in_group,p_top2_in_group,reached_QF,reached_SF,reached_final,p_title,p_pos_1,p_pos_2,p_pos_3,p_pos_4,reached_R16,p_pos_5
Men's Intermediate,Madhav Bajaj / Divanshu Nayyar,GROUP E,100.0,0.669,0.74485,0.9277,0.69315,0.4662,0.29305,0.16595,0.74485,0.18285,0.05825,0.01405,0.9277,
Men's Intermediate,Mehul Bansal / Lakshay Bharti,GROUP F,85.0,0.657,0.6427,0.86335,0.67245,0.50995,0.2814,0.15965,0.6427,0.22065,0.09835,0.0383,0.86335,
Men's Intermediate,Karan Tandon / Sahil Parikh,GROUP D,114.0,0.621,0.7067,0.9052,0.6344,0.37755,0.2251,0.1195,0.7067,0.1985,0.0763,0.0185,0.9052,
Men's Intermediate,Anav Shrish / Viraj Bhargava,GROUP G,84.0,0.633,0.65595,0.88565,0.6103,0.3621,0.21975,0.11615,0.65595,0.2297,0.0937,0.02065,0.88565,
Men's Intermediate,Vansh Bhagtani / Yash Nagdev,GROUP H,18.0,0.594,0.66775,0.9188,0.57465,0.35855,0.1847,0.09005,0.66775,0.25105,0.0668,0.0144,0.9188,
Men's Intermediate,Raghav Garg / Sachit Nayyar,GROUP A,44.0,0.533,0.53785,0.9051,0.5461,0.30075,0.1343,0.0594,0.53785,0.36725,0.0949,0.0,0.9051,
Men's Intermediate,Manav Malhotra / Varun Dattani,GROUP A,301.0,0.46,0.4143,0.8677,0.46585,0.2104,0.0845,0.03225,0.4143,0.4534,0.1323,0.0,0.8677,
Men's Intermediate,Shanu Hazra / Parth Thakkar,GROUP C,150.0,0.427,0.55165,0.8314,0.4242,0.1998,0.0719,0.02835,0.55165,0.27975,0.12625,0.04235,0.8314,
Men's Intermediate,Nikhil Bansal / Jansher Waraich,GROUP H,51.0,0.364,0.269,0.7287,0.3069,0.115,0.0351,0.01115,0.269,0.4597,0.1999,0.0714,0.7287,
Men's Intermediate,Udhay Mahajan / Hari Singh,GROUP G,18.0,0.348,0.1985,0.57405,0.2349,0.0728,0.02615,0.0076,0.1985,0.37555,0.2914,0.13455,0.57405,
Men's Intermediate,Simar Chadha / Ikrab Ghai,GROUP C,30.0,0.292,0.31725,0.6872,0.2603,0.094,0.02335,0.0071,0.31725,0.36995,0.2102,0.1026,0.6872,
Men's Intermediate,Tanveer Singh / Rahil Mahajan,GROUP B,39.0,0.314,0.1823,0.6715,0.25105,0.07035,0.0228,0.00645,0.1823,0.4892,0.23105,0.09745,0.6715,
Men's Intermediate,Rajkanwar Bhangoo / Harneet Singh,GROUP F,40.0,0.316,0.1422,0.42865,0.2224,0.0747,0.021,0.00585,0.1422,0.28645,0.29775,0.2736,0.42865,
Men's Intermediate,Arjun Dhanda / Akhil Bansal,GROUP F,18.0,0.278,0.11625,0.3693,0.17625,0.0557,0.01455,0.0036,0.11625,0.25305,0.30175,0.32895,0.3693,
Men's Intermediate,Rishabh Gupta / Rijul Jain,GROUP F,20.0,0.259,0.09885,0.3387,0.16075,0.05065,0.01315,0.0031,0.09885,0.23985,0.30215,0.35915,0.3387,
Men's Intermediate,Akshay Dhawan / Animesh Gupta,GROUP E,18.0,0.251,0.12705,0.49075,0.1759,0.04215,0.0125,0.0031,0.12705,0.3637,0.3197,0.18955,0.49075,
Men's Intermediate,Yashvardhan Sarda / Shreyas Dogial,GROUP D,29.0,0.253,0.14625,0.50385,0.1675,0.0436,0.01215,0.003,0.14625,0.3576,0.3126,0.18355,0.50385,
Men's Intermediate,Ramit Bhargava / Manjot Singh Ahuja,GROUP G,20.0,0.259,0.12315,0.41535,0.14015,0.0342,0.0104,0.0025,0.12315,0.2922,0.37055,0.2141,0.41535,
Men's Intermediate,Vaibhav Sahni / Ishaan Chandhok,GROUP E,9.0,0.212,0.10035,0.419,0.13705,0.0326,0.00835,0.0015,0.10035,0.31865,0.351,0.23,0.419,
Men's Intermediate,Manan Gupta / Armaan Garg,GROUP D,9.0,0.216,0.1152,0.4274,0.1305,0.0303,0.0078,0.00135,0.1152,0.3122,0.34155,0.23105,0.4274,
Men's Intermediate,Sahil Bakshi / Shivang Mahajan,GROUP C,0.0,0.0,0.0658,0.2394,0.04085,0.0076,0.0006,0.0001,0.0658,0.1736,0.33345,0.42715,0.2394,
Men's Intermediate,Japnaam Singh / Meet Ohlyan,GROUP H,0.0,0.0,0.0318,0.17695,0.0312,0.00415,0.0006,0.0001,0.0318,0.14515,0.365,0.45805,0.17695,
Men's Intermediate,Ankush Puri / Sehaj Sehgal,GROUP H,0.0,0.0,0.03145,0.17555,0.03105,0.00455,0.0004,0.0001,0.03145,0.1441,0.3683,0.45615,0.17555,
Men's Intermediate,Anirudh Kaushal / Sartaj Singh Sudan,GROUP G,0.0,0.0,0.0224,0.12495,0.02095,0.0025,0.00055,0.0001,0.0224,0.10255,0.24435,0.6307,0.12495,
Men's Intermediate,Vishav Bansal / Ajay Dhiman,GROUP B,0.0,0.0,0.0276,0.18625,0.0331,0.00435,0.0006,0.0001,0.0276,0.15865,0.36365,0.4501,0.18625,
Men's Intermediate,Rohail Pandohi / Ayush Gupta,GROUP A,0.0,0.0,0.04785,0.2272,0.04425,0.0066,0.00055,5e-05,0.04785,0.17935,0.7728,0.0,0.2272,
Men's Intermediate,Aayush Poddar / Anurag Agarwal,GROUP E,0.0,0.0,0.02775,0.16255,0.03135,0.00375,0.00045,5e-05,0.02775,0.1348,0.27105,0.5664,0.16255,
Men's Intermediate,Sagar Ahuja / Nivesh Poddar,GROUP B,0.0,0.0,0.02715,0.19015,0.03155,0.00395,0.00055,0.0,0.02715,0.163,0.3647,0.44515,0.19015,
Men's Intermediate,Sahil Kapoor / Yuvraj Singh Arora,GROUP D,0.0,0.0,0.03185,0.16355,0.03015,0.00385,0.00045,0.0,0.03185,0.1317,0.26955,0.5669,0.16355,
Men's Intermediate,Love Pahal / Aarav Chawla,GROUP C,0.0,0.0,0.0653,0.242,0.0428,0.0076,0.00075,0.0,0.0653,0.1767,0.3301,0.4279,0.242,
Men's Beginner,Gautam Kaushal / Suvir Singh,GROUP A,45.0,0.717,1.0,1.0,0.88655,0.75405,0.6495,0.5384,1.0,0.0,0.0,0.0,1.0,
Men's Beginner,Shray Mehta / Atin Gupta,GROUP B,30.0,0.437,0.0,1.0,0.73525,0.5218,0.384,0.161,0.0,1.0,0.0,0.0,1.0,
Men's Beginner,Ajitesh Kaushal / Vidur Ahuja,GROUP B,0.0,0.233,1.0,1.0,0.71315,0.4459,0.1949,0.0518,1.0,0.0,0.0,0.0,1.0,
Men's Beginner,Aarman Kler / Sahiljit Singh Sandhu,GROUP E,9.0,0.284,0.0,1.0,0.74335,0.17255,0.1024,0.0515,0.0,1.0,0.0,0.0,1.0,
Men's Beginner,Ankit Dhawan / Guru Singh,GROUP C,0.0,0.244,1.0,1.0,0.71815,0.28585,0.16705,0.0452,1.0,0.0,0.0,0.0,1.0,
Men's Beginner,Satyam Pathak / Divyam Jain,GROUP E,0.0,0.245,1.0,1.0,0.56795,0.3418,0.0868,0.04245,1.0,0.0,0.0,0.0,1.0,
Men's Beginner,Arshdeep Singh / Sanam Singh,GROUP D,0.0,0.181,1.0,1.0,0.67945,0.3257,0.06895,0.0293,1.0,0.0,0.0,0.0,1.0,
Men's Beginner,Sandeep Dhand / Adesh Pratap Singh,GROUP A,0.0,0.165,0.0,1.0,0.43205,0.23485,0.0503,0.01945,0.0,1.0,0.0,0.0,1.0,
Men's Beginner,Rajat Garg / Nitesh Bharti,GROUP F,0.0,0.108,0.0,1.0,0.55695,0.25765,0.08705,0.01815,0.0,1.0,0.0,0.0,1.0,
Men's Beginner,Yash Khajanchi / Abhiraj Singh,GROUP F,0.0,0.141,1.0,1.0,0.26475,0.12825,0.0639,0.0138,1.0,0.0,0.0,0.0,1.0,
Men's Beginner,Ramnish Pal / Abhit Jhanji,GROUP C,0.0,0.039,0.0,1.0,0.44305,0.1775,0.0513,0.00935,0.0,1.0,0.0,0.0,1.0,
Men's Beginner,Sandip Sabharwal / Shampy Mittal,GROUP C,20.0,0.136,0.0,0.0,0.11345,0.04935,0.0237,0.00805,0.0,0.0,1.0,0.0,1.0,
Men's Beginner,Vivek Sharma / Rahul Gupta,GROUP F,0.0,-0.033,0.0,0.0,0.28685,0.11895,0.0293,0.0041,0.0,0.0,1.0,0.0,1.0,
Men's Beginner,Sidhannt Kalucha / Lokesh Dudeja,GROUP A,0.0,-0.028,0.0,0.0,0.28185,0.0641,0.0225,0.0032,0.0,0.0,1.0,0.0,1.0,
Men's Beginner,Saksham Dogra / Yuvraj Khullar,GROUP E,0.0,-0.046,0.0,0.0,0.32055,0.09765,0.01105,0.0024,0.0,0.0,1.0,0.0,1.0,
Men's Beginner,Hitesh Panwar / Shivam Garg,GROUP D,0.0,-0.027,0.0,1.0,0.25665,0.02405,0.0073,0.00185,0.0,1.0,0.0,0.0,1.0,
Men's Beginner,Nikhil Doda / Jason P Sharma,GROUP F,0.0,-0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Men's Beginner,Rajbir S Randhawa / Aaronbir S Randhawa,GROUP A,0.0,-0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Men's Beginner,Nakul Mishra / Aditya Mehra,GROUP C,0.0,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Men's Beginner,Sahil Dhingra / Udit Khaitan,GROUP B,0.0,-0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Men's Beginner,Sahil Mahajan / Anuj Aggarwal,GROUP E,0.0,-0.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Men's Beginner,Mohit Sharma / Dhruv Malhotra,GROUP B,0.0,-0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
Men's Beginner,Manav Jain / Thashakkriv Neelash,GROUP D,18.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Men's Beginner,Surya Jain / Abhishek Slathia,GROUP D,0.0,-0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
Men's 40+,Akshay Jalan / Ankit Agarwal,GROUP A,1788.0,1.085,0.9839,0.99915,,0.99915,0.98945,0.97905,0.9839,0.01525,0.0008,5e-05,,
Men's 40+,Prabhas Sharma / Muizz Khan,GROUP B,0.0,0.04,0.2855,0.54335,,0.54335,0.15585,0.00455,0.2855,0.25785,0.24005,0.2166,,
Men's 40+,Utsav Khanna / Supan Kalucha,GROUP B,0.0,0.0,0.24065,0.4883,,0.4883,0.12205,0.00345,0.24065,0.24765,0.254,0.2577,,
Men's 40+,Rakesh Kumar / Akash Chawla,GROUP B,0.0,0.0,0.23565,0.48665,,0.48665,0.1195,0.0032,0.23565,0.251,0.25225,0.2611,,
Men's 40+,Sidharth Daluja / Avish Sharma,GROUP B,0.0,0.0,0.2382,0.4817,,0.4817,0.12325,0.0029,0.2382,0.2435,0.2537,0.2646,,
Men's 40+,Gagandeep Singh Wasu / Vikas Nayar,GROUP A,0.0,0.0,0.00575,0.3315,,0.3315,0.1639,0.0023,0.00575,0.32575,0.33395,0.33455,,
Men's 40+,Sidharth Garg / Anuj Mehndiratta,GROUP A,0.0,0.0,0.005,0.33485,,0.33485,0.16405,0.0023,0.005,0.32985,0.3309,0.33425,,
Men's 40+,Mukul Kumar / Kanwar Dhillon,GROUP A,0.0,0.0,0.00535,0.3345,,0.3345,0.16195,0.00225,0.00535,0.32915,0.33435,0.33115,,
Women's Beginner,Arnavaz Kollah / Ustat Kharbanda,GROUP B,50.0,0.551,0.8098,0.9402,,0.9402,0.7336,0.5788,0.8098,0.1304,0.04265,0.013,,0.00415
Women's Beginner,Dishita Aggarwal / Avreet Dhillon,GROUP A,50.0,0.335,0.5156,0.78785,,0.78785,0.4707,0.2245,0.5156,0.27225,0.1469,0.06525,,0.0
Women's Beginner,Armaan Mann / Amanat Mann,GROUP A,18.0,0.198,0.28465,0.61095,,0.61095,0.2757,0.0967,0.28465,0.3263,0.23905,0.15,,0.0
Women's Beginner,Nihar Khan / Priyanka Mahajan,GROUP A,0.0,0.0,0.0996,0.2999,,0.2999,0.086,0.0183,0.0996,0.2003,0.30805,0.39205,,0.0
Women's Beginner,Muskaan Sundra / Hasrat Kaushal,GROUP B,0.0,0.0,0.0476,0.26125,,0.26125,0.088,0.0175,0.0476,0.21365,0.2393,0.24685,,0.2526
Women's Beginner,Hridaya Patel / Rushali Singh,GROUP A,0.0,0.0,0.10015,0.3013,,0.3013,0.08285,0.017,0.10015,0.20115,0.306,0.3927,,0.0
Women's Beginner,Sara Daluja / Shuchi Bakshi,GROUP B,0.0,0.0,0.0477,0.26805,,0.26805,0.08665,0.01595,0.0477,0.22035,0.2388,0.25085,,0.2423
Women's Beginner,Tasveer Sohi / Prabhsifat Kaur,GROUP B,0.0,0.0,0.0463,0.26345,,0.26345,0.08755,0.01575,0.0463,0.21715,0.23825,0.2468,,0.2515
Women's Beginner,Bhavya Wadhawan / Shrawasti Kundilya,GROUP B,0.0,0.0,0.0486,0.26705,,0.26705,0.08895,0.0155,0.0486,0.21845,0.241,0.2425,,0.24945
